topic_id,topic_keywords,collection_key,discipline,ga,title,link
0,"github, 2025, pull, qa, development, google",D2,D2,,Year recap and future goals for the GitHub Innovation Graph,https://github.blog/news-insights/policy-news-and-insights/year-recap-and-future-goals-for-the-github-innovation-graph/
4,"ai, 30, builders, ai turns, week, how ai",D2,D2,,How AI tools can redefine universal design to increase accessibility,https://research.google/blog/how-ai-agents-can-redefine-universal-design-to-increase-accessibility/
1,"product, manager, product manager, sop, product owner, owner",D2,D2,,"Клиентский опыт: что это такое, метрики и управление",https://sberbs.ru/blogs/blog/klientskiy-opyt-chto-eto-takoe-metriki-i-upravlenie
4,"ai, 30, builders, ai turns, week, how ai",D2,D2,,How a product manager conducts 30+ customer interviews per month with AI,https://www.atlassian.com/blog/artificial-intelligence/customer-insights-rovo-agent
4,"ai, 30, builders, ai turns, week, how ai",D2,D2,,How AI turns product managers back into builders,https://www.atlassian.com/blog/artificial-intelligence/how-ai-turns-product-managers-back-into-builders
4,"ai, 30, builders, ai turns, week, how ai",D2,D2,,AI turns software engineers into product engineers,https://www.atlassian.com/blog/artificial-intelligence/how-ai-turns-software-engineers-into-product-engineers
-1,noise,D2,D2,,Delivering scalable DevOps practices with Docker in Bamboo 6.4,https://www.atlassian.com/blog/bamboo/devops-continuous-deployment-docker-bamboo-6-4
6,"jira, jira workflows, mondaycom, workflows, with, how to",D2,D2,,How to use whiteboards in Jira workflows,https://www.atlassian.com/blog/confluence/use-whiteboards-in-jira-workflows
2,"agile, safe, waterfall, agile agile, scrum, agile safe",D2,D2,,Striking a balance between speed and quality in continuous delivery,https://www.atlassian.com/blog/continuous-delivery/striking-balance-speed-quality-continuous-delivery
4,"ai, 30, builders, ai turns, week, how ai",D2,D2,,A Design Technologist’s Take on AI Builders Week,https://www.atlassian.com/blog/design/a-design-technologists-take-on-ai-builders
0,"github, 2025, pull, qa, development, google",D2,D2,,The (written) unwritten guide to pull requests,https://www.atlassian.com/blog/git/written-unwritten-guide-pull-requests
1,"product, manager, product manager, sop, product owner, owner",D2,D2,,Improving real-time enterprise visibility into the cost of work,https://www.atlassian.com/blog/jira-align/improving-real-time-enterprise-visibility-into-the-cost-of-work
3,"how, how to, project, pmo, chatgpt, to",D2,D2,,The best projects are powered by knowledge,https://www.atlassian.com/blog/work-management/knowledge-management-plus-project-management
7,"data, using big, drive results, to drive, big, in numbers",D2,D2,,Advanced Data Labeling Methods: From Hybrid Approaches to LLMs,https://www.toptal.com/developers/machine-learning/advanced-data-labeling-methods
-1,noise,D2,D2,,"Python Logging Handlers: A Deep Dive Into Types, Configuration, and Best Practices",https://www.toptal.com/developers/python/in-depth-python-logging
1,"product, manager, product manager, sop, product owner, owner",D2,D2,,Sustainable Success: A Framework for Optimizing Profit,https://www.toptal.com/management-consultants/business-consultants/optimizing-profit
1,"product, manager, product manager, sop, product owner, owner",D2,D2,,5 Key Tips for Smarter Sales and Operations Planning Implementation,https://www.toptal.com/management-consultants/business-plan-writers/sales-and-operations-planning-implementation
3,"how, how to, project, pmo, chatgpt, to",D2,D2,,How to Build a 3-statement Model: Best Practices for Valuations and Projections,https://www.toptal.com/management-consultants/financial-modelers/three-statement-modeling
5,"api, rest, productled, rest api, productled growth, growth",D2,D2,,Treat It Like a Product: API Management Best Practices,https://www.toptal.com/product-managers/api/api-management-best-practices
5,"api, rest, productled, rest api, productled growth, growth",D2,D2,,Understanding REST API Principles: A Product Manager’s Guide,https://www.toptal.com/product-managers/api/understanding-rest-api
5,"api, rest, productled, rest api, productled growth, growth",D2,D2,,Evolving Your Product Strategy: 3 Principles for Successful AI Integration,https://www.toptal.com/product-managers/artificial-intelligence/ai-business-integration
-1,noise,D2,D2,,Find a Winning Gen AI Use Case: A Strategic Prioritization Framework,https://www.toptal.com/product-managers/artificial-intelligence/use-case-prioritization-framework
7,"data, using big, drive results, to drive, big, in numbers",D2,D2,,Proof in Numbers: Using Big Data to Drive Results,https://www.toptal.com/product-managers/data/data-science-in-product-management
1,"product, manager, product manager, sop, product owner, owner",D2,D2,,Growth Product Management: What You Need to Know,https://www.toptal.com/product-managers/data/guide-growth-product-managers
-1,noise,D2,D2,,Building an AI Product? Maximize Value With an Implementation Framework,https://www.toptal.com/product-managers/digital/ai-implementation-strategy
8,"ai product, ai, started in, in ai, getting, started",D2,D2,,Getting Started in AI Product Management,https://www.toptal.com/product-managers/digital/ai-overview
8,"ai product, ai, started in, in ai, getting, started",D2,D2,,How to Build AI Product Strategies and Teams,https://www.toptal.com/product-managers/digital/ai-product-strategy
1,"product, manager, product manager, sop, product owner, owner",D2,D2,,"Defining Who, What, and Why: How to Write a User Story",https://www.toptal.com/product-managers/digital/how-to-write-a-user-story
-1,noise,D2,D2,,5 Common Mistakes in Requirements Gathering,https://www.toptal.com/product-managers/digital/requirements-gathering-mistakes
7,"data, using big, drive results, to drive, big, in numbers",D2,D2,,5 Considerations for a Strong E-commerce Product Strategy,https://www.toptal.com/product-managers/ecommerce/ecommerce-product-strategy
5,"api, rest, productled, rest api, productled growth, growth",D2,D2,,Fintech Product Development: How to Embrace Innovation in a Complex Industry,https://www.toptal.com/product-managers/finance-product-managers/fintech-regulations
6,"jira, jira workflows, mondaycom, workflows, with, how to",D2,D2,,Design Sprints: Fostering Creativity Through Constraints,https://www.toptal.com/product-managers/product-consultant/daniel-hatton-creative-constraints
6,"jira, jira workflows, mondaycom, workflows, with, how to",D2,D2,,How to Reduce UX Friction in Secure Product Development,https://www.toptal.com/product-managers/product-development-managers/reduce-ux-friction-in-secure-products
0,"github, 2025, pull, qa, development, google",D2,D2,,AI in QA: A Novel Framework for Delivering Quality Software Quickly,https://www.toptal.com/product-managers/product-leader/ai-quality-assurance-framework
3,"how, how to, project, pmo, chatgpt, to",D2,D2,,How to Define an MVP Scope in 3 Hours,https://www.toptal.com/product-managers/product-leader/how-to-define-an-mvp-scope-in-three-hours
1,"product, manager, product manager, sop, product owner, owner",D2,D2,,HiPPOs and the Product Roadmap: How to Manage Senior Stakeholder Intervention,https://www.toptal.com/product-managers/product-management-consultant/hippos-product-roadmap
5,"api, rest, productled, rest api, productled growth, growth",D2,D2,,Drive Commercial Success With a Product-led Growth Culture,https://www.toptal.com/product-managers/product-management-consultant/product-led-growth
5,"api, rest, productled, rest api, productled growth, growth",D2,D2,,3 Product-led Growth Frameworks to Build Your Business,https://www.toptal.com/product-managers/product-management-consultant/product-led-growth-frameworks
1,"product, manager, product manager, sop, product owner, owner",D2,D2,,Product Manager vs. Product Owner: Who’s Who?,https://www.toptal.com/product-managers/product-management-consultant/product-manager-vs-product-owner-who-does-your-business-need
1,"product, manager, product manager, sop, product owner, owner",D2,D2,,Two Roadmaps Diverged: Strategic and Tactical Routes to Product Development,https://www.toptal.com/product-managers/product-management-consultant/product-roadmaps
0,"github, 2025, pull, qa, development, google",D2,D2,,Apply These QA Techniques to Improve Your Product Development Process,https://www.toptal.com/product-managers/product-management-consultant/qa-best-practices
8,"ai product, ai, started in, in ai, getting, started",D2,D2,,Building an Innovative Tech Startup From Scratch Using Lean Methodology,https://www.toptal.com/product-managers/product-strategy-consultant/lean-startup-methodology
2,"agile, safe, waterfall, agile agile, scrum, agile safe",D2,D2,,5 Agile Scaling Frameworks Compared: Which One Should You Use?,https://www.toptal.com/project-managers/agile/agile-scaling-frameworks-compared
2,"agile, safe, waterfall, agile agile, scrum, agile safe",D2,D2,,Critical Chain Project Management: Agile’s Missing Link,https://www.toptal.com/project-managers/agile/critical-chain-project-management
2,"agile, safe, waterfall, agile agile, scrum, agile safe",D2,D2,,Traversing Hybrid Project Management: The Bridge Between Agile and Waterfall,https://www.toptal.com/project-managers/agile/hybrid-project-management-a-middle-ground-between-agile-and-waterfall
9,"kanban, scrum, agile scrum, todays, scrum kanban, lean agile",D2,D2,,"Today’s Project Management Blueprint: A Comparison of Lean, Agile, Scrum, and Kanban",https://www.toptal.com/project-managers/agile/project-management-blueprint-part-1-agile-scrum-kanban-lean
2,"agile, safe, waterfall, agile agile, scrum, agile safe",D2,D2,,Tips for Effective Agile Budgeting and Forecasting,https://www.toptal.com/project-managers/agile/tips-agile-budgeting-and-forecasting
2,"agile, safe, waterfall, agile agile, scrum, agile safe",D2,D2,,What Is Agile? A Philosophy That Develops Through Practice,https://www.toptal.com/project-managers/agile/what-is-agile
2,"agile, safe, waterfall, agile agile, scrum, agile safe",D2,D2,,CapEx 101: Resolving the Agile vs. Waterfall Conflict With Hybrid Methodology,https://www.toptal.com/project-managers/digital/agile-and-waterfall-methodologies
6,"jira, jira workflows, mondaycom, workflows, with, how to",D2,D2,,Streamline Jira Workflows With These Best Practices,https://www.toptal.com/project-managers/jira/jira-workflow-best-practices
9,"kanban, scrum, agile scrum, todays, scrum kanban, lean agile",D2,D2,,Applying Kanban Practices to Better Manage Context Switching in Software Development,https://www.toptal.com/project-managers/kanban/kanban-principles
6,"jira, jira workflows, mondaycom, workflows, with, how to",D2,D2,,Supercharge Your Project Management With Jira and Monday.com Integration,https://www.toptal.com/project-managers/monday/monday-com-integration
1,"product, manager, product manager, sop, product owner, owner",D2,D2,,Program Manager vs. Product Manager: A Conflict Resolution Strategy,https://www.toptal.com/project-managers/program-manager/program-manager-vs-product-manager
3,"how, how to, project, pmo, chatgpt, to",D2,D2,,Implementing a Project Management Office: 4 Steps to Success,https://www.toptal.com/project-managers/program-manager/what-is-pmo-implementation-strategy
3,"how, how to, project, pmo, chatgpt, to",D2,D2,,Using AI in Project Management: Key Applications and Benefits,https://www.toptal.com/project-managers/project-management-consultant/ai-project-management
3,"how, how to, project, pmo, chatgpt, to",D2,D2,,Powerful Conversations: How Project Managers Can Transform Teams Through Strategic Questions,https://www.toptal.com/project-managers/project-management-consultant/asking-questions
3,"how, how to, project, pmo, chatgpt, to",D2,D2,,How to Use ChatGPT for Project Management,https://www.toptal.com/project-managers/project-management-consultant/chatgpt-for-project-management
9,"kanban, scrum, agile scrum, todays, scrum kanban, lean agile",D2,D2,,Kanban History: From 1950s Factory Floor to Today’s Remote Teams,https://www.toptal.com/project-managers/project-management-consultant/kanban-remote-teams
3,"how, how to, project, pmo, chatgpt, to",D2,D2,,How to Use Coaching in Organizational Change Management,https://www.toptal.com/project-managers/project-management-consultant/organizational-change-management-coaching
3,"how, how to, project, pmo, chatgpt, to",D2,D2,,3 Essential Project Manager Skills and How to Hone Them,https://www.toptal.com/project-managers/project-management-consultant/project-manager-skills
-1,noise,D2,D2,,Transforming Chaos Into Business As Usual: Resource Allocation in Four Simple Steps,https://www.toptal.com/project-managers/project-management-consultant/resource-allocation
1,"product, manager, product manager, sop, product owner, owner",D2,D2,,What Is a Product Owner? A Project Manager’s Guide,https://www.toptal.com/project-managers/project-management-consultant/what-is-a-product-owner
2,"agile, safe, waterfall, agile agile, scrum, agile safe",D2,D2,,Agile Scaling: SAFe Best Practices for Scrum Masters,https://www.toptal.com/project-managers/scaled-agile-framework/safe-best-practices
2,"agile, safe, waterfall, agile agile, scrum, agile safe",D2,D2,,SAFe Case Studies: Transformation Notes From the Field,https://www.toptal.com/project-managers/scaled-agile-framework/safe-case-studies
2,"agile, safe, waterfall, agile agile, scrum, agile safe",D2,D2,,Stay on Track With These Proven Agile Project Estimation Techniques,https://www.toptal.com/project-managers/scrum-master/agile-project-estimation-techniques
